代码,简称,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
005627,富国中证高端制造指数增强型(LOF)C,1.6983,1.6983,1.3%,1.96%,-0.88%,2.82%,21.1%,24.71%,-5.87%,,0.78%,-18.68%
004945,长信中证500指数增强A,1.4362,1.4362,0.96%,1.58%,-1.78%,1.86%,20.69%,24.7%,-3.66%,-12.39%,-0.1%,43.61%
019994,创金合信北证50成份指数增强C,1.2419,1.2419,0.51%,-3.35%,-4.75%,-10.74%,55.57%,24.5%,,,3.87%,24.19%
016786,鹏华中证1000指数增强C,1.0959,1.0959,1.7%,1.86%,-0.34%,9.75%,32.07%,24.48%,3.76%,,1.41%,9.59%
013881,长信中证500指数增强C,1.4167,1.4167,0.95%,1.58%,-1.82%,1.75%,20.45%,24.18%,-4.51%,-13.51%,-0.13%,-12.97%
009981,万家创业板指数增强A,0.7953,0.7953,0.96%,2.67%,-1.58%,-0.51%,25.68%,24.15%,-12.87%,-21.71%,1.65%,-20.47%
017644,博道中证1000指数增强A,1.0879,1.0879,1.49%,1.62%,-0.64%,9.41%,30.99%,24.06%,,,0.84%,8.79%
004513,海富通沪深300指数增强A,1.1531,1.4231,0.78%,0.44%,-3.89%,-0.77%,13.47%,24.04%,1.03%,-7.72%,-2.76%,40.81%
019013,景顺长城国证2000指数增强A,1.0721,1.0721,1.75%,1.91%,-1.71%,7.31%,33.06%,24.03%,,,0.72%,7.21%
018579,鑫元国证2000指数增强A,1.0206,1.0206,1.64%,1.96%,-2%,6.4%,35.38%,23.99%,,,1.53%,2.06%
004512,海富通沪深300指数增强C,1.2021,1.4851,0.79%,0.43%,-3.89%,-0.79%,13.42%,23.93%,0.83%,-7.99%,-2.76%,47.6%
018663,中欧国证2000指数增强A,1.0315,1.0539,1.18%,1.55%,-2%,9.99%,36.94%,23.93%,,,0.54%,5.34%
017067,申万菱信中证1000指数增强A,0.9874,0.9874,1.37%,2.26%,-0.13%,7.02%,29.82%,23.7%,,,1.86%,-1.26%
009982,万家创业板指数增强C,0.7827,0.7827,0.97%,2.66%,-1.61%,-0.61%,25.43%,23.65%,-13.57%,-22.65%,1.62%,-21.73%
017645,博道中证1000指数增强C,1.0816,1.0816,1.5%,1.62%,-0.67%,9.31%,30.74%,23.55%,,,0.82%,8.16%
019014,景顺长城国证2000指数增强C,1.0661,1.0661,1.75%,1.9%,-1.74%,7.19%,32.8%,23.52%,,,0.7%,6.61%
001015,华夏沪深300指数增强A,1.814,1.814,0.83%,1%,-2.37%,-0.71%,15.98%,23.49%,-3.05%,-11.47%,-1.36%,81.4%
018580,鑫元国证2000指数增强C,1.0146,1.0146,1.64%,1.95%,-2.04%,6.29%,35.1%,23.49%,,,1.5%,1.46%
015507,兴业中证500指数增强A,0.983,0.983,1.2%,1.4%,-2.6%,1.2%,18.62%,23.45%,-0.54%,,-0.53%,-1.7%
015495,景顺长城中证1000指数增强A,1.0593,1.0593,1.79%,1.62%,-2.4%,4.8%,29.58%,23.3%,-0.26%,,0.16%,5.93%
018257,国泰君安沪深300指数增强发起A,1.0348,1.0348,0.78%,0.87%,-3.06%,-0.77%,14.01%,23.28%,,,-1.83%,3.48%
017068,申万菱信中证1000指数增强C,0.9797,0.9797,1.37%,2.24%,-0.16%,6.91%,29.56%,23.2%,,,1.82%,-2.03%
018664,中欧国证2000指数增强C,1.0221,1.0443,1.18%,1.53%,-2.04%,9.81%,36.53%,23.19%,,,0.5%,4.38%
016392,易米中证科创创业50指数增强发起A,0.9272,0.9272,1.06%,1.67%,-3.24%,-2.45%,25.43%,23.17%,-7.49%,,-0.56%,-7.28%
015794,天弘创业板指数增强A,0.8211,0.8211,1.13%,2.37%,-2.66%,-1.51%,24.9%,23.14%,-16.39%,,0.23%,-17.89%
015508,兴业中证500指数增强C,0.9753,0.9753,1.2%,1.39%,-2.62%,1.13%,18.45%,23.08%,-1.13%,,-0.55%,-2.47%
018013,长信中证1000指数增强A,1.0319,1.0319,1.62%,2.06%,-0.58%,7.27%,26.3%,23.02%,,,1.48%,3.19%
007044,博道沪深300指数增强A,1.4226,1.4226,0.62%,0.98%,-2.44%,-0.21%,13.77%,22.92%,4.57%,-7.55%,-1.96%,42.26%
001016,华夏沪深300指数增强C,1.725,1.725,0.82%,0.94%,-2.43%,-0.86%,15.62%,22.86%,-4.06%,-12.79%,-1.43%,72.5%
015496,景顺长城中证1000指数增强C,1.0478,1.0478,1.79%,1.62%,-2.42%,4.7%,29.33%,22.82%,-1.05%,,0.14%,4.78%
012900,招商创业板指数增强A,0.59,0.59,1.11%,2.29%,-2.29%,0.29%,24.97%,22.81%,-16.17%,-33.65%,0.34%,-41%
