代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,抗风险,稳定性,择时能力
090004,大成精选增值混合,李博,大成,11.65亿元,88.00000000000001,86,80.0,83.0,5,5,4,4,-1.05%,良好,6.89%,一般,19.72%,优秀,13.94%,优秀,0.21%,优秀,36.69%,良好,80.0,90.0,80.0,80.0,70.0
007939,华夏网购精选混合,孙蒙,华夏,7.28亿元,84.00000000000001,82,81.0,82.00000000000001,5,3,5,4,-2.82%,一般,9.36%,良好,18.41%,良好,7.43%,优秀,5.66%,优秀,44.36%,优秀,80.0,90.0,80.0,75.0,85.0
007663,平安安享灵活配置,莫艽,平安,0.18亿元,84.00000000000001,98,80.0,83.0,5,3,3,5,4.39%,优秀,26.58%,优秀,24.15%,优秀,20.61%,优秀,9.91%,优秀,36.84%,良好,95.0,95.0,75.0,80.0,80.0
040025,华安科技动力混合,李欣,华安,20.72亿元,88.00000000000001,100,76.5,82.3,5,5,4,4,1.00%,优秀,22.71%,优秀,41.40%,优秀,21.29%,优秀,4.30%,优秀,56.43%,优秀,75.0,95.0,75.0,65.0,80.0
006233,万家汽车新趋势混,耿嘉洲,万家,1.26亿元,80.0,88,71.5,75.7,4,5,5,3,-3.03%,一般,15.67%,良好,30.34%,优秀,-2.60%,优秀,1.34%,优秀,132.93%,优秀,80.0,85.0,70.0,60.0,70.0
007449,兴全多维价值混合,杨世进,兴证全球,24.58亿元,88.00000000000001,84,68.5,75.9,5,4,5,4,-1.22%,良好,15.20%,良好,20.43%,良好,-12.63%,良好,-13.31%,优秀,54.33%,优秀,80.0,75.0,65.0,70.0,70.0
007450,兴全多维价值混合,杨世进,兴证全球,2.91亿元,84.00000000000001,84,68.5,74.70000000000002,5,3,5,4,-1.37%,良好,14.86%,良好,19.72%,良好,-13.68%,良好,-14.86%,优秀,49.78%,优秀,80.0,75.0,65.0,70.0,70.0
006719,国融融盛龙头严选,周德生,国融,10.14亿元,88.00000000000001,100,76.5,82.3,5,3,4,5,7.50%,优秀,42.61%,优秀,60.51%,优秀,60.74%,优秀,33.50%,优秀,89.62%,优秀,85.0,100.0,75.0,50.0,80.0
007731,民生加银持续成长,朱辰喆,民生,9.90亿元,88.00000000000001,92,57.5,70.10000000000001,5,5,4,4,-1.10%,良好,16.63%,良好,31.67%,优秀,-3.46%,优秀,2.32%,优秀,41.30%,优秀,70.0,75.0,50.0,55.0,75.0
007884,易方达恒盛3个月,胡剑,易方达,20.37亿元,76.0,100,85.0,83.8,3,5,5,3,3.78%,优秀,7.26%,优秀,11.37%,优秀,15.37%,优秀,16.04%,优秀,37.46%,优秀,90.0,85.0,85.0,85.0,80.0
007497,中庚价值灵动灵活,吴承根,中庚,13.20亿元,88.00000000000001,30,67.0,69.6,5,4,5,4,-7.57%,不佳,5.86%,一般,5.81%,一般,-14.65%,一般,-10.28%,良好,75.69%,优秀,75.0,65.0,65.0,65.0,75.0
007574,宝盈新价值混合C,杨思亮,宝盈,4.36亿元,88.00000000000001,82,80.5,82.9,4,3,5,5,-0.93%,良好,3.79%,一般,12.95%,良好,10.03%,优秀,11.43%,优秀,100.07%,优秀,90.0,85.0,80.0,80.0,70.0
008246,圆信永丰致优混合,陈臣,圆信永丰,0.48亿元,88.00000000000001,54,73.5,75.9,5,3,4,5,-4.04%,一般,9.83%,一般,9.61%,一般,-6.22%,优秀,-13.11%,优秀,78.00%,优秀,70.0,70.0,75.0,70.0,75.0
008891,安信价值成长混合,聂世林,安信,1.73亿元,88.00000000000001,63,72.0,75.89999999999999,4,5,5,4,-6.72%,不佳,9.25%,一般,19.71%,良好,-13.63%,良好,-14.51%,优秀,---,,85.0,85.0,70.0,65.0,65.0
007468,中信建投精选混合,栾江伟,中信建投,0.95亿元,88.00000000000001,94,77.0,82.0,5,4,5,4,4.90%,优秀,20.24%,优秀,20.64%,良好,3.98%,优秀,6.69%,优秀,91.43%,优秀,85.0,85.0,75.0,70.0,80.0
008272,大成优势企业混合,刘旭,大成,14.21亿元,84.00000000000001,88,81.0,82.60000000000001,5,3,5,4,-0.75%,良好,9.94%,一般,25.41%,优秀,15.96%,优秀,4.52%,优秀,106.91%,优秀,95.0,95.0,80.0,80.0,60.0
009077,红土创新稳进混合,陈若劲,红土创新,1.61亿元,84.00000000000001,42,92.5,84.9,5,3,5,4,0.42%,一般,0.55%,不佳,3.77%,不佳,8.13%,优秀,9.79%,优秀,---,,75.0,75.0,100.0,100.0,75.0
008421,广发招泰C,王予柯,广发,0.50亿元,88.00000000000001,92,87.5,88.10000000000001,5,3,4,5,1.17%,良好,4.97%,良好,12.51%,优秀,12.98%,优秀,11.70%,优秀,---,,85.0,85.0,90.0,85.0,80.0
009006,创金合信鑫祺混合,闫一帆,创金合信,3.00亿元,88.00000000000001,77,80.5,82.4,4,3,5,5,-1.43%,不佳,8.35%,优秀,9.55%,优秀,5.38%,良好,11.15%,优秀,---,,90.0,80.0,80.0,80.0,75.0
008245,圆信永丰致优混合,陈臣,圆信永丰,4.08亿元,88.00000000000001,54,74.0,76.2,5,3,4,5,-3.95%,一般,10.06%,一般,10.06%,一般,-5.45%,优秀,-12.05%,优秀,83.14%,优秀,75.0,70.0,75.0,70.0,75.0
007469,中信建投精选混合,栾江伟,中信建投,1.21亿元,84.00000000000001,94,77.0,80.80000000000001,5,3,5,4,4.80%,优秀,20.00%,优秀,20.16%,良好,3.14%,优秀,5.41%,优秀,87.63%,优秀,85.0,85.0,75.0,70.0,80.0
009078,红土创新稳进混合,陈若劲,红土创新,8.84亿元,84.00000000000001,42,92.5,84.9,5,3,5,4,0.41%,一般,0.51%,不佳,3.68%,不佳,7.92%,优秀,9.47%,优秀,---,,75.0,75.0,100.0,100.0,75.0
007066,浦银安盛先进制造,李浩玄,浦银,1.27亿元,80.0,94,80.0,81.4,1,5,4,5,6.74%,优秀,16.53%,良好,26.58%,优秀,0.93%,优秀,2.94%,优秀,30.83%,良好,100.0,90.0,80.0,80.0,50.0
008092,中信保诚红利精选,提云涛,中信保诚,0.30亿元,84.00000000000001,82,80.5,81.7,5,3,5,4,-2.21%,良好,5.88%,一般,16.17%,良好,7.00%,优秀,-1.36%,优秀,53.73%,优秀,85.0,90.0,80.0,80.0,70.0
