代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,抗风险,稳定性,择时能力
001245,工银生态环境股票,何肖颉,工银,20.66亿元,80.0,72,82.5,80.7,3,5,4,4,0.06%,良好,13.31%,良好,24.23%,优秀,-18.09%,一般,-27.45%,一般,110.28%,优秀,85.0,80.0,85.0,85.0,65.0
005037,银华新能源新材料,李宜璇,银华,3.62亿元,64.0,24,74.5,66.3,2,2,2,5,-6.93%,不佳,11.85%,良好,7.04%,一般,-34.49%,不佳,-42.26%,不佳,38.03%,良好,85.0,75.0,75.0,70.0,65.0
004784,招商稳健优选股票,陈西中,招商,2.99亿元,76.0,98,80.0,80.6,4,5,4,3,6.02%,优秀,21.57%,优秀,30.28%,优秀,4.79%,优秀,-14.32%,良好,115.79%,优秀,70.0,80.0,80.0,75.0,95.0
005038,银华新能源新材料,李宜璇,银华,1.91亿元,68.0,24,74.5,67.5,2,3,2,5,-7.03%,不佳,11.63%,良好,6.60%,一般,-35.01%,不佳,-42.95%,不佳,35.29%,良好,85.0,75.0,75.0,70.0,65.0
671030,西部利得事件驱动,张昌平,西部利得,3.37亿元,84.00000000000001,100,78.5,82.30000000000001,4,5,4,4,24.49%,优秀,42.18%,优秀,58.99%,优秀,10.67%,优秀,5.06%,优秀,87.36%,优秀,100.0,95.0,75.0,70.0,70.0
002300,长盛医疗量化股票,郝征,长盛,1.71亿元,64.0,36,75.5,68.1,2,3,1,5,-6.20%,一般,3.62%,不佳,5.50%,不佳,-14.07%,良好,-13.77%,良好,23.49%,良好,70.0,75.0,75.0,75.0,85.0
006502,财通集成电路产业,金梓才,财通,0.78亿元,80.0,98,70.0,75.8,4,5,3,4,11.80%,优秀,34.17%,优秀,56.20%,优秀,18.52%,优秀,5.95%,优秀,29.23%,良好,75.0,100.0,65.0,55.0,80.0
007288,合煦智远消费主题,杨志勇,合煦智远,0.08亿元,80.0,28,78.5,73.89999999999999,5,3,4,4,-6.11%,一般,1.43%,不佳,5.73%,一般,-13.76%,良好,-15.85%,良好,0.19%,一般,80.0,75.0,80.0,80.0,70.0
007471,博道叁佰智航股票,杨梦,博道,4.64亿元,80.0,82,93.0,88.0,4,3,3,5,-1.86%,良好,12.22%,良好,21.36%,良好,-0.48%,优秀,-14.01%,良好,26.52%,良好,85.0,85.0,100.0,85.0,75.0
007470,博道叁佰智航股票,杨梦,博道,4.85亿元,80.0,84,93.0,88.2,4,3,3,5,-1.76%,良好,12.44%,良好,21.85%,良好,0.32%,优秀,-12.97%,优秀,29.07%,良好,85.0,85.0,100.0,85.0,75.0
008283,易方达金融行业股,张胜记,易方达,5.32亿元,76.0,92,93.5,88.10000000000001,4,5,4,3,-2.90%,良好,16.58%,良好,36.10%,优秀,3.60%,优秀,-3.84%,优秀,---,,100.0,95.0,100.0,80.0,60.0
008262,招商研究优选股票,梁辰,招商,1.05亿元,80.0,88,94.5,89.49999999999999,4,3,3,5,-1.40%,良好,8.15%,一般,26.02%,优秀,11.69%,优秀,0.91%,优秀,---,,80.0,90.0,100.0,100.0,75.0
009414,中银大健康股票A,郑宁,中银,2.06亿元,76.0,27,70.0,67.5,3,3,3,5,-8.64%,不佳,7.88%,一般,8.03%,一般,-16.38%,一般,-9.23%,优秀,---,,70.0,70.0,70.0,60.0,80.0
008618,永赢医药健康A,郭鹏,永赢,0.25亿元,76.0,24,70.0,67.2,4,2,3,5,-6.71%,不佳,5.29%,一般,-4.83%,不佳,-25.85%,一般,-20.22%,良好,---,,70.0,60.0,70.0,70.0,80.0
900029,中信证券量化优选,魏孛,中信证券资产管理,1.40亿元,80.0,83,90.0,86.3,5,4,3,4,-0.90%,良好,11.65%,良好,20.90%,良好,-0.78%,优秀,-15.90%,良好,---,,95.0,80.0,95.0,85.0,70.0
009602,招商科技动力3个,张林,招商,1.44亿元,80.0,100,85.5,85.3,3,3,4,5,3.57%,优秀,23.62%,优秀,44.20%,优秀,41.59%,优秀,32.15%,优秀,---,,80.0,100.0,85.0,80.0,85.0
008445,融通产业趋势先锋,刘安坤,融通,1.17亿元,84.00000000000001,43,79.5,77.2,5,4,4,4,-2.24%,良好,1.20%,不佳,12.14%,一般,-9.92%,良好,-12.55%,优秀,---,,70.0,75.0,80.0,90.0,80.0
011221,南方匠心优选股票,李锦文,南方,2.06亿元,80.0,78,79.5,79.49999999999999,5,3,4,4,-3.86%,一般,6.09%,一般,15.57%,良好,6.50%,优秀,-4.74%,优秀,---,,85.0,85.0,80.0,80.0,65.0
011230,创金合信数字经济,王鑫,创金合信,1.85亿元,80.0,76,77.5,78.1,4,3,5,4,-4.61%,一般,15.45%,良好,16.28%,良好,-15.31%,良好,-15.85%,良好,---,,80.0,75.0,80.0,80.0,60.0
011150,创金合信ESG责,王鑫,创金合信,0.67亿元,84.00000000000001,27,71.5,70.8,4,3,4,5,-10.08%,不佳,4.83%,一般,-7.00%,不佳,-16.47%,一般,-12.02%,优秀,---,,60.0,60.0,70.0,80.0,95.0
011125,富国文体健康股票,林庆,富国,5.09亿元,84.00000000000001,90,90.0,88.2,4,3,4,5,2.43%,优秀,11.90%,良好,21.31%,良好,9.99%,优秀,-3.61%,优秀,---,,85.0,80.0,95.0,90.0,75.0
011476,工银新蓝筹股票C,盛震山,工银,2.92亿元,80.0,70,86.5,82.9,4,3,5,4,-2.94%,良好,-3.49%,不佳,14.08%,良好,-2.63%,优秀,-11.74%,优秀,---,,75.0,80.0,90.0,100.0,70.0
010321,中银大健康股票C,郑宁,中银,0.68亿元,72.0,27,70.0,66.3,2,3,3,5,-8.73%,不佳,7.69%,一般,7.60%,一般,-17.03%,一般,-10.29%,优秀,---,,70.0,70.0,70.0,60.0,80.0
011385,南方远见回报股票,李锦文,南方,0.30亿元,80.0,78,80.0,79.8,5,3,4,4,-3.52%,一般,6.56%,一般,19.47%,良好,10.23%,优秀,-2.20%,优秀,---,,85.0,90.0,80.0,80.0,65.0
012836,招商景气精选股票,梁辰,招商,2.18亿元,76.0,82,94.0,87.4,3,3,3,5,-2.26%,良好,4.48%,一般,22.10%,良好,18.55%,优秀,10.80%,优秀,---,,80.0,90.0,100.0,95.0,75.0
012835,招商景气精选股票,梁辰,招商,5.55亿元,76.0,88,94.0,88.0,3,3,3,5,-2.06%,良好,4.91%,一般,23.09%,优秀,20.47%,优秀,13.50%,优秀,---,,80.0,90.0,100.0,95.0,75.0
013465,博时智选量化多因,刘钊,博时,0.61亿元,76.0,100,81.5,81.7,3,3,3,5,12.09%,优秀,38.07%,优秀,45.70%,优秀,19.69%,优秀,18.10%,优秀,---,,100.0,95.0,80.0,70.0,70.0
008924,建信医疗健康行业,马牧青,建信,5.94亿元,76.0,15,73.5,68.4,3,3,3,5,-9.68%,不佳,1.55%,不佳,-0.66%,不佳,-20.17%,一般,1.21%,优秀,---,,65.0,65.0,75.0,75.0,80.0
014198,华夏智胜先锋股票,孙蒙,华夏,14.36亿元,76.0,62,76.0,74.60000000000001,3,3,3,5,0.08%,良好,15.46%,良好,10.75%,一般,4.37%,优秀,15.95%,优秀,---,,70.0,75.0,75.0,75.0,90.0
501219,华夏智胜先锋股票,孙蒙,华夏,8.82亿元,76.0,66,76.0,75.0,3,3,3,5,0.18%,优秀,15.69%,良好,11.19%,一般,5.20%,优秀,17.34%,优秀,---,,70.0,75.0,75.0,75.0,90.0
013466,博时智选量化多因,刘钊,博时,2.61亿元,76.0,100,81.5,81.7,3,3,3,5,11.95%,优秀,37.71%,优秀,44.97%,优秀,18.50%,优秀,16.32%,优秀,---,,100.0,95.0,80.0,70.0,70.0
008923,建信医疗健康行业,马牧青,建信,3.58亿元,76.0,15,73.5,68.4,3,3,3,5,-9.58%,不佳,1.77%,不佳,-0.26%,不佳,-19.52%,一般,2.45%,优秀,---,,65.0,65.0,75.0,75.0,80.0
001725,汇添富高端制造股,赵鹏飞,汇添富,15.73亿元,80.0,74,83.0,81.2,3,3,4,5,-5.58%,一般,9.86%,一般,18.49%,良好,-8.62%,良好,-13.91%,良好,66.81%,优秀,90.0,80.0,85.0,85.0,65.0
001915,宝盈医疗健康沪港,姚艺,宝盈,7.73亿元,76.0,10,70.0,65.8,3,3,3,5,-10.50%,不佳,-1.84%,不佳,0.51%,不佳,-16.84%,一般,-11.21%,优秀,13.21%,一般,60.0,65.0,70.0,70.0,85.0
001878,嘉实沪港深精选股,张金涛,嘉实,26.02亿元,80.0,82,82.5,81.7,4,4,4,4,-5.70%,一般,9.15%,一般,30.60%,优秀,3.50%,优秀,-3.89%,优秀,30.19%,良好,90.0,90.0,85.0,80.0,55.0
206012,鹏华价值精选股票,张鹏,鹏华,1.78亿元,80.0,82,76.0,77.8,4,4,4,4,-0.54%,良好,15.42%,良好,17.96%,良好,-11.89%,良好,-19.83%,良好,68.58%,优秀,75.0,75.0,75.0,80.0,80.0
005267,嘉实价值精选股票,谭丽,嘉实,42.54亿元,80.0,66,75.5,75.89999999999999,4,4,4,4,-5.16%,一般,4.01%,不佳,15.87%,良好,-3.48%,优秀,-8.03%,优秀,65.62%,优秀,85.0,80.0,75.0,80.0,60.0
005960,博时量化价值股票,黄瑞庆,博时,0.40亿元,80.0,84,82.0,81.6,4,4,4,4,-3.48%,良好,10.16%,良好,15.43%,良好,-1.46%,优秀,-7.85%,优秀,31.65%,良好,75.0,85.0,80.0,80.0,100.0
519975,长信量化中小盘股,左金保,长信,2.07亿元,80.0,92,73.0,77.0,4,4,4,4,6.28%,优秀,20.58%,优秀,22.41%,良好,-1.22%,优秀,-13.61%,良好,53.18%,优秀,75.0,80.0,70.0,75.0,80.0
