代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,跟踪误差,超额收益,管理规模
012735,财通资管中债1-,宫志芳,财通资管,60.96亿元,76.0,68,80.0,77.6,3,3,3,5,2.06%,良好,2.46%,良好,4.87%,良好,8.03%,良好,9.86%,一般,---,,70.0,70.0,80.0,90.0,90.0
517090,国泰富时中国国企,梁杏,国泰,6.44亿元,76.0,54,84.0,78.60000000000001,3,3,3,5,-5.95%,不佳,-1.47%,不佳,24.08%,良好,31.07%,优秀,39.08%,优秀,---,,80.0,95.0,80.0,85.0,80.0
517660,天弘中证沪港深物,刘笑明,天弘,0.44亿元,76.0,89,76.0,77.30000000000001,3,3,3,5,-0.93%,良好,20.29%,良好,35.85%,优秀,14.58%,优秀,-9.42%,良好,---,,75.0,85.0,85.0,65.0,70.0
014028,招商中证银行指数,侯昊,招商,0.66亿元,76.0,92,84.0,82.4,3,3,3,5,3.99%,优秀,14.04%,一般,37.10%,优秀,31.21%,优秀,22.85%,优秀,---,,100.0,100.0,70.0,80.0,70.0
014130,融通中证云计算与,何天翔,融通,9.23亿元,76.0,100,73.0,76.6,3,3,3,5,0.04%,优秀,29.51%,优秀,39.27%,优秀,18.85%,优秀,4.48%,优秀,---,,70.0,80.0,70.0,65.0,80.0
012801,富国中证医药50,王乐乐,富国,0.72亿元,80.0,0,70.0,66.0,3,3,4,5,-7.36%,不佳,5.97%,不佳,-6.87%,不佳,-29.60%,不佳,-29.79%,不佳,---,,60.0,60.0,75.0,80.0,75.0
010677,工银传媒指数C,刘伟琳,工银,0.84亿元,76.0,70,74.0,74.2,3,3,3,5,2.05%,优秀,31.01%,优秀,15.04%,一般,20.72%,优秀,-1.35%,优秀,---,,70.0,75.0,75.0,75.0,75.0
012708,东方红中证红利低,徐习佳,上海东方,23.42亿元,76.0,92,83.0,81.8,3,3,3,5,0.58%,优秀,8.78%,一般,26.83%,优秀,34.20%,优秀,38.24%,优秀,---,,85.0,95.0,75.0,75.0,85.0
014544,汇添富中证沪港深,乐无穹,汇添富,1.20亿元,76.0,100,73.0,76.6,3,3,3,5,0.82%,优秀,31.84%,优秀,39.77%,优秀,11.93%,优秀,-4.46%,优秀,---,,75.0,85.0,70.0,60.0,75.0
012709,东方红中证红利低,徐习佳,上海东方,26.21亿元,76.0,92,83.0,81.8,3,3,3,5,0.47%,优秀,8.55%,一般,26.32%,优秀,33.15%,优秀,36.59%,优秀,---,,85.0,95.0,75.0,75.0,85.0
014543,汇添富中证沪港深,乐无穹,汇添富,1.41亿元,76.0,100,73.0,76.6,3,3,3,5,0.88%,优秀,32.26%,优秀,40.38%,优秀,12.69%,优秀,-3.58%,优秀,---,,75.0,85.0,70.0,60.0,75.0
012802,富国中证医药50,王乐乐,富国,0.64亿元,80.0,0,70.0,66.0,3,3,4,5,-7.39%,不佳,5.91%,不佳,-6.96%,不佳,-29.74%,不佳,-30.00%,不佳,---,,60.0,60.0,75.0,80.0,75.0
009702,鹏华中债1-3年,叶朝明,鹏华,60.94亿元,84.00000000000001,68,79.0,79.39999999999999,3,4,4,5,1.78%,良好,1.97%,良好,4.39%,良好,7.66%,一般,10.17%,良好,---,,65.0,70.0,80.0,90.0,90.0
501012,汇添富中证中药E,过蓓蓓,汇添富,4.08亿元,72.0,18,72.0,66.6,3,3,2,5,-7.19%,不佳,1.15%,不佳,-2.21%,不佳,-14.22%,一般,-12.95%,良好,29.50%,优秀,65.0,60.0,75.0,80.0,80.0
008677,银华中债1-3年,赵旭东,银华,26.50亿元,76.0,72,81.0,78.60000000000001,3,2,4,5,1.68%,良好,2.08%,良好,4.53%,良好,7.86%,良好,10.24%,良好,16.89%,一般,70.0,70.0,80.0,95.0,90.0
013084,中信保诚中证智能,黄稚,中信保诚,0.15亿元,76.0,100,72.0,76.0,3,3,3,5,11.16%,优秀,40.98%,优秀,46.48%,优秀,25.86%,优秀,0.87%,优秀,---,,75.0,85.0,75.0,60.0,65.0
006748,富国中证价值ET,曹璐迪,富国,5.28亿元,76.0,62,79.0,76.4,3,3,3,5,-0.68%,优秀,10.42%,一般,18.40%,一般,19.58%,优秀,9.25%,优秀,78.87%,优秀,80.0,80.0,75.0,80.0,80.0
161121,易方达中证银行E,刘树荣,易方达,6.11亿元,76.0,92,86.0,83.60000000000001,3,3,3,5,4.13%,优秀,14.12%,一般,37.39%,优秀,31.68%,优秀,23.42%,优秀,49.62%,优秀,100.0,100.0,70.0,80.0,80.0
007228,华安中债7-10,周舒展,华安,11.02亿元,72.0,100,77.0,77.8,3,2,3,5,4.43%,优秀,4.94%,优秀,10.13%,优秀,16.36%,优秀,19.09%,优秀,27.21%,优秀,60.0,75.0,80.0,85.0,85.0
007751,景顺长城沪港深红,曾理,景顺长城,2.80亿元,68.0,92,83.0,79.39999999999999,3,2,2,5,1.25%,优秀,10.15%,一般,27.68%,优秀,29.22%,优秀,31.37%,优秀,54.15%,优秀,95.0,90.0,75.0,75.0,80.0
