代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,抗风险,稳定性,管理规模
008031,创金合信汇嘉三个,郑振源,创金合信,34.86亿元,76.0,90,76.5,77.7,3,5,5,3,1.84%,良好,2.13%,良好,5.09%,优秀,10.54%,优秀,12.97%,优秀,20.06%,良好,75.0,80.0,75.0,75.0,85.0
006147,宝盈融源可转债债,邓栋,宝盈,0.60亿元,76.0,70,57.0,64.0,5,5,3,3,8.49%,优秀,1.90%,一般,18.47%,优秀,-3.60%,不佳,3.88%,良好,8.73%,不佳,75.0,75.0,50.0,50.0,70.0
008678,财通兴利纯债12,张婉玉,财通,9.51亿元,76.0,88,75.0,76.6,3,5,5,3,1.90%,良好,1.67%,一般,6.40%,优秀,15.76%,优秀,18.42%,优秀,24.64%,优秀,60.0,85.0,75.0,75.0,80.0
008654,诺德汇盈一年定开,赵滔滔,诺德,7.51亿元,76.0,88,68.5,72.7,3,5,5,3,1.93%,良好,1.94%,一般,5.82%,优秀,13.27%,优秀,16.15%,优秀,---,,0.0,85.0,75.0,75.0,75.0
008176,长信利保债券C,冯彬,长信,27.35亿元,88.00000000000001,90,83.0,85.2,5,3,4,5,0.69%,一般,7.07%,优秀,9.42%,优秀,11.79%,优秀,13.81%,优秀,18.51%,良好,80.0,100.0,85.0,65.0,75.0
008204,交银稳利中短债债,黄莹洁,交银,174.16亿元,84.00000000000001,92,82.0,83.60000000000001,5,3,5,4,0.93%,良好,1.15%,良好,3.21%,优秀,8.52%,优秀,10.11%,优秀,19.30%,优秀,85.0,70.0,80.0,85.0,100.0
008108,国联安短债债券A,万莉,国联安,38.52亿元,80.0,28,87.0,78.99999999999999,5,4,5,3,0.60%,不佳,0.94%,一般,2.39%,不佳,6.18%,一般,8.86%,良好,16.07%,良好,90.0,65.0,90.0,90.0,85.0
900019,中信证券六个月滚,李天颖,中信证券资产管理,12.60亿元,92.0,92,79.5,84.5,5,4,4,5,0.95%,良好,1.12%,良好,4.08%,优秀,8.67%,优秀,11.06%,优秀,19.20%,优秀,80.0,75.0,80.0,80.0,80.0
007941,恒生前海恒扬纯债,李维康,恒生前海,10.19亿元,84.00000000000001,48,79.5,77.7,5,5,3,4,1.44%,一般,1.96%,良好,3.70%,一般,8.42%,一般,12.23%,优秀,21.58%,优秀,85.0,70.0,80.0,80.0,80.0
008579,东海祥苏短债C,邢烨,东海,3.93亿元,84.00000000000001,43,89.5,83.2,5,3,5,4,0.49%,不佳,1.19%,良好,2.50%,一般,6.59%,良好,10.16%,优秀,---,,95.0,65.0,95.0,90.0,75.0
009050,易方达恒裕一年定,纪玲云,易方达,48.28亿元,76.0,100,75.0,77.8,3,5,5,3,2.44%,优秀,2.54%,优秀,6.40%,优秀,13.04%,优秀,14.17%,优秀,---,,80.0,90.0,70.0,70.0,90.0
008207,国泰合融纯债债券,刘嵩扬,国泰,92.30亿元,88.00000000000001,54,78.5,78.9,4,5,5,4,1.36%,一般,1.58%,一般,4.03%,一般,9.94%,优秀,12.43%,优秀,21.77%,优秀,80.0,75.0,75.0,80.0,100.0
008369,蜂巢丰鑫一年定开,廖新昌,蜂巢,15.63亿元,76.0,42,76.5,72.9,3,5,5,3,1.37%,一般,1.35%,不佳,4.05%,一般,11.45%,优秀,16.03%,优秀,---,,50.0,75.0,80.0,80.0,80.0
008109,国联安短债债券C,万莉,国联安,13.34亿元,76.0,16,86.0,76.0,5,3,5,3,0.56%,不佳,0.88%,不佳,2.24%,不佳,5.87%,一般,8.39%,良好,14.89%,良好,85.0,65.0,90.0,90.0,80.0
008331,万家可转债债券A,董一平,万家,0.57亿元,84.00000000000001,70,60.0,68.2,5,5,3,4,3.82%,优秀,8.09%,优秀,10.95%,优秀,0.66%,不佳,-1.62%,不佳,---,,80.0,65.0,55.0,55.0,70.0
009045,浦银安盛盛智一年,曹治国,浦银,10.50亿元,76.0,100,84.5,83.5,3,5,5,3,2.18%,优秀,3.02%,优秀,7.06%,优秀,13.68%,优秀,15.31%,优秀,---,,90.0,90.0,85.0,75.0,80.0
009267,广发双债添利债券,代宇,广发,38.80亿元,88.00000000000001,82,72.0,77.8,4,3,5,5,2.26%,良好,1.74%,一般,5.67%,良好,12.09%,优秀,14.95%,优秀,---,,75.0,85.0,65.0,70.0,100.0
009311,创金合信鑫日享短,谢创,创金合信,46.05亿元,76.0,12,83.5,74.10000000000001,5,3,5,3,0.52%,不佳,0.71%,不佳,2.35%,不佳,6.02%,一般,8.42%,良好,---,,80.0,65.0,85.0,90.0,90.0
009605,安信永顺一年定开,祝璐琛,安信,20.89亿元,76.0,30,81.0,74.4,3,5,5,3,0.81%,不佳,1.10%,不佳,4.21%,一般,11.65%,优秀,15.02%,优秀,---,,95.0,75.0,80.0,80.0,80.0
008508,国联聚锦一年定开,石霄蒙,国联,15.38亿元,76.0,30,79.5,73.5,3,5,5,3,0.73%,不佳,0.85%,不佳,3.02%,不佳,9.48%,优秀,12.25%,优秀,---,,85.0,70.0,80.0,80.0,80.0
007611,汇安裕和纯债债券,王作舟,汇安,5.76亿元,88.00000000000001,48,76.5,77.1,4,5,5,4,1.30%,一般,1.53%,一般,4.01%,一般,9.48%,良好,11.84%,良好,---,,85.0,75.0,75.0,80.0,75.0
008791,招商安华债券A,侯杰,招商,108.31亿元,88.00000000000001,94,69.0,77.2,5,3,4,5,2.29%,优秀,5.88%,优秀,8.28%,良好,7.03%,优秀,8.15%,优秀,---,,80.0,90.0,60.0,60.0,100.0
000673,融通四季添利债券,王超,融通,1.79亿元,88.00000000000001,15,73.0,71.7,5,3,4,5,0.65%,不佳,0.70%,不佳,2.30%,不佳,6.29%,不佳,15.25%,优秀,---,,60.0,65.0,75.0,80.0,75.0
009604,国金惠盈纯债E,于涛,国金,1.51亿元,88.00000000000001,100,68.5,77.5,4,3,5,5,3.85%,优秀,2.79%,优秀,7.52%,优秀,15.45%,优秀,16.59%,优秀,---,,60.0,95.0,65.0,65.0,75.0
009617,东兴兴利债券C,司马义买买提,东兴,28.31亿元,76.0,46,79.0,74.8,5,3,5,3,1.68%,良好,1.69%,不佳,2.88%,不佳,7.27%,优秀,10.55%,优秀,---,,75.0,70.0,80.0,80.0,85.0
002337,创金合信季安鑫3,黄佳祥,创金合信,0.10亿元,76.0,0,82.0,72.0,5,5,3,3,1.08%,不佳,1.34%,不佳,2.99%,不佳,6.90%,不佳,9.63%,一般,16.45%,不佳,85.0,70.0,85.0,85.0,70.0
008233,中银恒优12个月,陈玮,中银,0.66亿元,84.00000000000001,86,72.0,77.0,5,3,5,4,2.19%,良好,2.63%,良好,5.73%,良好,9.31%,优秀,12.02%,优秀,---,,80.0,80.0,70.0,70.0,70.0
003978,中信建投稳祥A,许健,中信建投,44.05亿元,88.00000000000001,86,76.5,80.89999999999999,5,5,4,4,2.10%,良好,2.63%,良好,5.31%,良好,11.58%,优秀,13.02%,优秀,22.51%,优秀,70.0,80.0,75.0,75.0,90.0
009771,汇安嘉汇纯债债券,金鸿峰,汇安,0.09亿元,88.00000000000001,54,73.0,75.60000000000001,4,3,5,5,1.14%,不佳,1.21%,不佳,4.75%,良好,14.57%,优秀,17.29%,优秀,---,,85.0,80.0,70.0,75.0,70.0
009456,东方稳健回报债券,刘长俊,东方,16.35亿元,88.00000000000001,82,76.5,80.5,5,3,4,5,1.66%,一般,2.25%,良好,4.97%,良好,11.45%,优秀,13.90%,优秀,---,,80.0,80.0,75.0,75.0,80.0
860035,光大阳光稳债中短,车飞,上海光大证券,10.47亿元,76.0,0,78.5,69.9,5,3,5,3,0.66%,不佳,0.89%,不佳,2.82%,不佳,6.89%,一般,9.24%,一般,---,,75.0,70.0,80.0,80.0,80.0
009403,平安惠盈纯债C,张恒,平安,0.72亿元,76.0,24,66.5,65.10000000000001,5,3,5,3,1.25%,一般,1.00%,不佳,3.64%,一般,9.13%,良好,9.91%,一般,---,,65.0,70.0,65.0,70.0,70.0
010086,中邮纯债丰利债券,武志骁,中邮,21.39亿元,88.00000000000001,58,73.0,76.0,5,5,4,4,1.81%,良好,2.01%,一般,4.41%,一般,9.77%,优秀,11.80%,优秀,---,,80.0,75.0,70.0,75.0,80.0
010226,博时双季享持有期,李禹成,博时,0.05亿元,88.00000000000001,94,77.0,82.0,5,3,4,5,2.19%,优秀,2.44%,优秀,4.87%,良好,10.91%,优秀,12.95%,优秀,---,,70.0,80.0,80.0,75.0,65.0
860050,光大阳光稳债中短,车飞,上海光大证券,4.04亿元,76.0,0,77.0,69.0,5,3,5,3,0.61%,不佳,0.79%,不佳,2.62%,不佳,6.47%,一般,8.59%,一般,---,,70.0,65.0,80.0,80.0,75.0
010145,格林中短债债券A,高洁,格林,10.38亿元,80.0,43,77.5,74.8,5,2,5,4,0.92%,良好,0.82%,不佳,2.66%,一般,7.05%,优秀,9.25%,良好,---,,70.0,65.0,80.0,80.0,80.0
